Price,Close,High,Low,Open,Volume
Ticker,ASK.BK,ASK.BK,ASK.BK,ASK.BK,ASK.BK
Date,,,,,
2022-02-18,38.93437957763672,39.153112047174,38.496914638562146,38.71564710809943,380000
2022-02-21,39.37184524536133,40.24677513970269,39.15311277177599,40.24677513970269,2318000
2022-02-22,40.24677276611328,40.24677276611328,38.71564554131549,38.93437800200089,1400200
2022-02-23,40.68423843383789,41.99663322202621,40.46550596913984,40.46550596913984,2044300
2022-02-24,40.02804183959961,41.12170418494386,39.15311196332421,40.90297171587501,1076900
2022-02-25,41.1217041015625,41.34043657018783,39.590576821185174,40.90297163293717,1537400
2022-02-28,42.87156295776367,42.87156295776367,40.46550585299122,41.340435709272114,2453400
2022-03-01,42.65283203125,43.309029447115385,42.21536708733974,43.09029697516026,693900
2022-03-02,41.77790069580078,42.87156301768038,41.77790069580078,42.87156301768038,506300
2022-03-03,42.12746810913086,42.57563266348331,41.6793035547784,42.12746810913086,574100
2022-03-04,41.903385162353516,42.575631983139935,41.67930288875804,42.35154970954446,481300
2022-03-07,39.66256332397461,41.4552215533068,39.66256332397461,41.4552215533068,703900
2022-03-08,39.66256332397461,40.33481015997418,37.86990509464243,38.54215193064199,1927100
2022-03-09,41.23114013671875,42.57563383682914,39.21439958655316,40.110728719960086,2178300
2022-03-10,41.23114013671875,42.351551553477414,41.23114013671875,41.67930470342221,829500
2022-03-11,40.558895111083984,41.231141991378195,40.11073052422118,41.007059697946794,938000
2022-03-14,39.88664627075195,40.78297540043177,39.43848170591204,40.78297540043177,558700
2022-03-15,40.33481216430664,40.55889445410834,39.662565294901526,39.662565294901526,451600
2022-03-16,41.007057189941406,41.45522174939432,40.558892630488494,40.558892630488494,489100
2022-03-17,41.007057189941406,41.67930402912077,41.007057189941406,41.67930402912077,323500
2022-03-18,40.78297424316406,41.231138795286746,39.8866451389187,41.231138795286746,462500
2022-03-21,40.558895111083984,40.782977404515385,40.33481281765258,40.782977404515385,1290100
2022-03-22,40.33481216430664,40.78297674391005,40.11072987450493,40.55889445410834,749800
2022-03-23,40.1107292175293,41.00705836205509,40.1107292175293,40.334811503660745,675100
2022-03-24,39.43848419189453,40.110731081529096,39.43848419189453,40.110731081529096,738700
2022-03-25,39.43848419189453,40.110731081529096,39.43848419189453,39.43848419189453,229000
2022-03-28,39.88664627075195,40.33481083559186,39.43848170591204,39.43848170591204,539300
2022-03-29,40.78297424316406,40.78297424316406,40.11072741498004,40.11072741498004,1258900
2022-03-30,41.67930603027344,41.90338832075878,40.11072999687605,40.78297686833207,1147200
2022-03-31,43.02379608154297,43.02379608154297,40.55889109770457,42.35154926776886,3788500
2022-04-01,41.007057189941406,42.5756331480266,41.007057189941406,42.5756331480266,1415400
2022-04-04,40.33481216430664,41.231141323513455,40.33481216430664,40.78297674391005,1024000
2022-04-05,40.33481216430664,41.00705903371175,40.33481216430664,40.33481216430664,536300
2022-04-07,39.66256332397461,40.33481015997418,39.66256332397461,40.11072788130765,1291100
2022-04-08,40.1107292175293,40.334811503660745,39.88664693139785,39.88664693139785,216100
2022-04-11,39.88664627075195,40.33481083559186,39.662563988331996,39.88664627075195,239600
2022-04-12,39.88664627075195,40.11072855317191,39.662563988331996,39.88664627075195,187400
2022-04-18,39.66256332397461,40.33481015997418,39.66256332397461,39.88664560264113,698000
2022-04-19,40.1107292175293,40.334811503660745,39.88664693139785,39.88664693139785,571300
2022-04-20,40.33481216430664,40.33481216430664,39.88664758470323,40.11072987450493,482000
2022-04-21,40.558895111083984,40.782977404515385,40.11073052422118,40.558895111083984,882600
2022-04-22,40.1107292175293,40.78297607592364,39.6625646452664,40.78297607592364,823100
2022-04-25,38.7662353515625,39.438482207369944,38.54215306629335,39.214399922100796,1808100
2022-04-26,39.66256332397461,39.66256332397461,38.99031648797504,38.99031648797504,1446400
2022-04-27,38.990318298339844,39.438482876481686,38.990318298339844,38.990318298339844,740300
2022-04-28,38.542152404785156,39.43848153047784,37.64582327909248,39.43848153047784,1348600
2022-04-29,38.990318298339844,38.990318298339844,37.64582456391433,38.54215372019801,1364800
2022-05-03,37.64582443237305,38.99031816210066,36.973577567509246,38.99031816210066,1874600
2022-05-05,36.07725143432617,37.8699098906902,36.07725143432617,37.8699098906902,1741100
2022-05-06,35.85316848754883,35.85316848754883,34.50867466926575,35.180921578407286,2242300
2022-05-09,33.83642578125,35.62908410078642,32.26784975165563,35.40500181084437,4065500
2022-05-10,36.30133056640625,37.19765971619406,33.83642540448977,33.83642540448977,4080200
2022-05-11,35.62908172607422,36.301328551094485,35.18091717606071,36.301328551094485,1017100
2022-05-12,34.06050491333008,35.6290807974966,33.836422644163434,35.180916259163304,1508700
2022-05-13,36.07725143432617,36.97358066250819,34.284592977962134,34.73275759205315,2509000
2022-05-17,37.86990737915039,38.54215425570336,36.07724904167582,36.30133133386014,2343200
2022-05-18,38.542152404785156,38.542152404785156,37.42174099766931,38.542152404785156,1441000
2022-05-19,36.525413513183594,37.869907262135136,36.30133122169167,37.19766038765936,1359700
2022-05-20,37.64582443237305,38.09398900894892,36.525412990933376,36.973577567509246,1162300
2022-05-23,37.4217414855957,38.09398833863035,36.973576916905934,37.4217414855957,525700
2022-05-24,37.4217414855957,37.86990605428547,37.197659201250815,37.4217414855957,361300
2022-05-25,36.97357940673828,37.64582630504261,36.749497107303505,37.421744005607835,574800
2022-05-26,37.197662353515625,37.645826960184486,36.74949774684676,36.97358005018119,618800
2022-05-27,37.197662353515625,37.86990926351892,36.97358005018119,37.645826960184486,761600
2022-05-30,38.7662353515625,38.7662353515625,37.42174163994761,37.42174163994761,1381100
2022-05-31,37.86990737915039,38.990318840072,37.64582508696607,38.54215425570336,4144600
2022-06-01,37.86990737915039,38.54215425570336,36.97357821041311,38.09398967133472,1266400
2022-06-02,37.197662353515625,37.86990926351892,36.52541544351233,37.86990926351892,520200
2022-06-06,36.07725143432617,37.6458275836447,36.07725143432617,37.19766296955369,1338800
2022-06-07,34.95683670043945,36.301330419687126,34.95683670043945,36.077248133145844,1003400
2022-06-08,36.30133056640625,36.30133056640625,35.18091912917149,35.18091912917149,1078200
2022-06-09,34.73275375366211,36.077247447352256,34.284589189098725,35.853165165070564,3560200
2022-06-10,34.95683670043945,35.40500127352201,34.06050755427434,34.508672127356895,1096900
2022-06-13,33.16417694091797,33.836423770801446,32.716012387662325,33.61234149417362,3309500
2022-06-14,33.38825988769531,33.38825988769531,32.49193076319342,32.94009532544437,1526300
2022-06-15,31.819683074951172,33.164176726005444,31.147436249424032,33.164176726005444,2956600
2022-06-16,29.80294418334961,32.49193162846386,29.80294418334961,32.267849341371004,2737500
2022-06-17,30.251108169555664,30.475190452293116,29.35477903860587,29.578861321343318,2378900
2022-06-20,31.147438049316406,31.147438049316403,29.802944320568933,30.02702660869351,498700
2022-06-21,30.251108169555664,31.147437300505462,29.802943604080767,30.699272735030565,746200
2022-06-22,29.80294418334961,30.475191044628172,29.354779609163902,30.475191044628172,1033100
2022-06-23,30.69927215576172,30.923354434270927,29.57886076321567,30.027025320234088,617900
2022-06-24,30.69927215576172,31.147436712780138,30.475189877252507,30.923354434270927,291600
2022-06-27,30.69927215576172,31.371518991289346,30.69927215576172,31.147436712780138,850900
2022-06-28,30.027027130126953,30.4751917141587,30.027027130126953,30.4751917141587,798200
2022-06-29,29.80294418334961,30.027026470442465,29.578861896256758,30.027026470442465,573800
2022-06-30,28.458450317382812,29.802944033164678,28.234368031419166,29.57886174720103,1984100
2022-07-01,27.786203384399414,28.682532525831654,27.562121099041356,28.458450240473596,1754900
