Price,Close,High,Low,Open,Volume
Ticker,EPG.BK,EPG.BK,EPG.BK,EPG.BK,EPG.BK
Date,,,,,
2022-03-02,8.872041702270508,9.097220416957692,8.827005787535345,8.962112672752205,7019900
2022-03-03,8.917076110839844,8.962112022306421,8.827005146895253,8.962112022306421,4090000
2022-03-04,8.646862030029297,8.872040719780179,8.511754300785649,8.872040719780179,12345200
2022-03-07,8.151468276977539,8.511753816484017,7.746146830285631,8.511753816484017,47351600
2022-03-08,7.9262895584106445,8.1965041411156,7.7911818375639275,8.106432327217789,17040600
2022-03-09,8.24153995513916,8.28657586627422,8.016361258452424,8.016361258452424,7581700
2022-03-10,8.51175594329834,8.73693467650194,8.421684965410119,8.64686369861372,22325700
2022-03-11,8.421684265136719,8.511755235535428,8.37664835044305,8.421684265136719,7535600
2022-03-14,8.466718673706055,8.646862318711829,8.421683621443172,8.511754584957497,7325800
2022-03-15,8.601825714111328,8.872040300850815,8.556789806489999,8.556789806489999,19477300
2022-03-16,8.69189739227295,8.736933303634746,8.601826428537917,8.69189739227295,7786700
2022-03-17,8.78196907043457,8.917075943307374,8.78196907043457,8.917075943307374,7864900
2022-03-18,8.872041702270508,8.872041702270508,8.646862987583322,8.73693395806502,9595100
2022-03-21,8.69189739227295,8.827005126358342,8.646862339899714,8.827005126358342,5780200
2022-03-22,8.601825714111328,8.691896670365496,8.556789806489999,8.646861621732658,7715800
2022-03-23,8.69189739227295,8.736933303634746,8.601826428537917,8.646862339899714,4096300
2022-03-24,8.601825714111328,8.691896670365496,8.601825714111328,8.646861621732658,5813100
2022-03-25,8.556790351867676,8.646862172851176,8.511754441375926,8.646862172851176,5873500
2022-03-28,8.51175594329834,8.64686369861372,8.376649046971659,8.5567918617368,8235000
2022-03-29,8.421684265136719,8.601827064922764,8.37664835044305,8.601827064922764,10254100
2022-03-30,8.51175594329834,8.69189875806348,8.46672002485988,8.51175594329834,13714200
2022-03-31,8.556790351867676,8.601826262359426,8.466718530884176,8.556790351867676,7234800
2022-04-01,8.51175594329834,8.5567918617368,8.46672002485988,8.51175594329834,2180000
2022-04-04,8.421684265136719,8.511755235535428,8.286576521055714,8.511755235535428,6395500
2022-04-05,8.37664794921875,8.511754827839784,8.37664794921875,8.466718915303245,2210500
2022-04-07,8.286576271057129,8.37664809772708,8.19650530337578,8.37664809772708,5864800
2022-04-08,8.24153995513916,8.28657586627422,8.19650490299266,8.24153995513916,2715200
2022-04-11,8.106433868408203,8.28657667146399,8.106433868408203,8.241540755952883,4036500
2022-04-12,8.196504592895508,8.286575552769426,8.106432774033063,8.151468683464286,5532500
2022-04-18,8.151468276977539,8.19650418416297,8.016360555421247,8.10643236979211,4661600
2022-04-19,8.331612586975098,8.331612586975098,8.196505699430418,8.241540755952883,4753200
2022-04-20,8.601825714111328,8.601825714111328,8.33161112737184,8.37664703499317,11654100
2022-04-21,8.646862030029297,8.73693299053653,8.556790210533531,8.646862030029297,13107700
2022-04-22,8.736933708190918,8.781969621638064,8.601826826838082,8.646862740285227,10253900
2022-04-25,9.007147789001465,9.097219610486901,8.556790399551392,8.646862221036827,27504000
2022-04-26,8.962113380432129,9.277363949482929,8.917077462140773,9.0972211353062,12739700
2022-04-27,9.187291145324707,9.277362972421349,8.827005554915349,8.962112436571706,16247600
2022-04-28,9.187291145324707,9.277362972421349,9.007148350120028,9.187291145324707,9364900
2022-04-29,9.187291145324707,9.45750576762603,9.187291145324707,9.187291145324707,7217700
2022-05-03,9.097220420837402,9.36743419138636,9.097220420837402,9.277363220866249,7957200
2022-05-05,9.097220420837402,9.277363220866249,9.097220420837402,9.187291391357512,5220700
2022-05-06,9.097220420837402,9.097220420837402,8.827005791299817,8.917076761819926,5883300
2022-05-09,8.827005386352539,9.097220003493772,8.781969473664235,9.007148178117165,5531200
2022-05-10,9.187291145324707,9.187291145324707,8.872041468463669,8.872041468463669,7071300
2022-05-11,9.097220420837402,9.187291391357512,9.007148591328665,9.187291391357512,9308500
2022-05-12,8.69189739227295,9.007147912816968,8.69189739227295,9.007147912816968,9999500
2022-05-13,8.736933708190918,8.827005535085211,8.646862740285227,8.736933708190918,4515000
2022-05-17,8.827005386352539,8.96211226542886,8.736933560975933,8.736933560975933,3398600
2022-05-18,9.097220420837402,9.187291391357512,8.872041706054185,8.872041706054185,6209400
2022-05-19,9.007147789001465,9.007147789001465,8.872040915761863,8.962111878258748,7907900
2022-05-20,9.097220420837402,9.097220420837402,8.962112676574295,9.007148591328665,7096700
2022-05-23,9.097220420837402,9.097220420837402,8.962112676574295,9.097220420837402,3232800
2022-05-24,8.962113380432129,9.007149298723485,8.872042402838112,9.007149298723485,2602400
2022-05-25,9.097220420837402,9.097220420837402,8.917076761819926,8.962112676574295,3495200
2022-05-26,9.007147789001465,9.097219610486901,9.007147789001465,9.097219610486901,1978200
2022-05-27,9.277362823486328,9.277362823486328,9.007148205522922,9.007148205522922,7755800
2022-05-30,9.097220420837402,9.36743419138636,9.097220420837402,9.277363220866249,4588200
2022-05-31,9.097220420837402,9.097220420837402,8.917076761819926,9.007148591328665,8693100
2022-06-01,8.962113380432129,9.0972211353062,8.872042402838112,9.007149298723485,6113600
2022-06-02,8.962113380432129,9.007149298723485,8.917077462140773,8.962113380432129,1390400
2022-06-06,8.872041702270508,8.962112672752205,8.827005787535345,8.962112672752205,2639200
2022-06-07,8.827005386352539,8.872041299040843,8.781969473664235,8.872041299040843,2903500
2022-06-08,9.097220420837402,9.097220420837402,8.827005791299817,8.917076761819926,4361500
2022-06-09,9.097220420837402,9.277363220866249,8.962112676574295,9.097220420837402,10142600
2022-06-10,9.097220420837402,9.187291391357512,9.007148591328665,9.007148591328665,2016300
2022-06-13,8.917076110839844,9.007147933773,8.827005146895253,8.917076110839844,5451700
2022-06-14,8.962113380432129,9.007149298723485,8.872042402838112,8.917077462140773,2110100
2022-06-15,8.827005386352539,9.007148178117165,8.736933560975933,8.917076352740558,5206900
2022-06-16,8.646862030029297,8.91707577053953,8.601826120281414,8.91707577053953,8882200
2022-06-17,8.872041702270508,8.917076758017043,8.511755243377836,8.691898043329859,7999300
2022-06-20,8.917076110839844,9.097219756706156,8.87204105836183,8.87204105836183,8343900
2022-06-21,8.827005386352539,8.917076352740558,8.827005386352539,8.917076352740558,2405700
2022-06-22,8.646862030029297,8.962111680287412,8.556790210533531,8.962111680287412,13590300
2022-06-23,8.646862030029297,8.73693299053653,8.646862030029297,8.73693299053653,2145900
2022-06-24,8.646862030029297,8.691897080788648,8.556790210533531,8.691897080788648,3893400
2022-06-27,8.69189739227295,8.781969214996543,8.646862339899714,8.69189739227295,2917800
2022-06-28,8.736933708190918,8.736933708190918,8.646862740285227,8.69189779474377,1912000
2022-06-29,8.556790351867676,8.69189722435438,8.511754441375926,8.69189722435438,5587800
2022-06-30,8.421684265136719,8.646862979616431,8.37664835044305,8.556791150229095,6954600
2022-07-01,8.421684265136719,8.511755235535428,8.37664835044305,8.46671932084176,2322300
2022-07-04,8.286576271057129,8.466719065408427,8.286576271057129,8.466719065408427,4608800
2022-07-05,8.151468276977539,8.37664695391621,8.061396462606679,8.331611046730778,8527700
2022-07-06,8.061396598815918,8.241539371612935,8.01636069086954,8.196504322655056,4355100
2022-07-07,8.37664794921875,8.421683861755291,8.196505158061177,8.196505158061177,4552200
2022-07-08,8.196504592895508,8.331611462200648,8.196504592895508,8.331611462200648,2818600
2022-07-11,8.24153995513916,8.24153995513916,8.1514689918576,8.24153995513916,1291600
2022-07-12,8.196504592895508,8.241539643338204,8.106432774033063,8.151468683464286,734000
2022-07-14,8.151468276977539,8.286575139545349,8.151468276977539,8.151468276977539,2371200
2022-07-15,8.196504592895508,8.331611462200648,8.106432774033063,8.241539643338204,4975200
2022-07-18,8.196504592895508,8.286575552769426,8.106432774033063,8.241539643338204,3669900
2022-07-19,8.151468276977539,8.241539232359917,8.061396462606679,8.19650418416297,4045500
2022-07-20,8.24153995513916,8.28657586627422,8.10643308072254,8.19650490299266,3032100
2022-07-21,8.24153995513916,8.376647688544338,8.19650490299266,8.19650490299266,4198400
2022-07-22,8.51175594329834,8.60182778017526,8.241541291656281,8.241541291656281,13916700
2022-07-25,8.601825714111328,8.691896670365496,8.466717991247338,8.466717991247338,5844500
2022-07-26,8.736933708190918,8.781969621638064,8.511754999943788,8.556790913390934,12626700
2022-07-27,8.736933708190918,8.781969621638064,8.646862740285227,8.646862740285227,3763100
2022-08-01,8.911489486694336,8.957425175645675,8.773683295990713,8.773683295990713,5103400
2022-08-02,8.773681640625,8.91148780532818,8.773681640625,8.91148780532818,2683900
2022-08-03,8.635875701904297,8.819618446491898,8.589940891907737,8.773682760344997,6022800
2022-08-04,8.819618225097656,8.91148871893494,8.681811170116255,8.681811170116255,7922100
2022-08-05,8.727746963500977,8.911488829607775,8.727746963500977,8.865553144043492,4082000
2022-08-08,8.86555290222168,8.86555290222168,8.681811041126728,8.773682409749357,3531900
2022-08-09,9.187101364135742,9.278972728237205,8.911488147981618,8.911488147981618,12909000
2022-08-10,9.187101364135742,9.278972728237205,9.00335951208308,9.141165682085012,9108500
2022-08-11,9.187101364135742,9.278972728237205,9.095230000034281,9.278972728237205,4206500
2022-08-15,8.819618225097656,9.003360088922541,8.54400499128517,9.003360088922541,16520700
2022-08-16,8.911489486694336,9.003360864597013,8.773683295990713,8.819618984942052,5131200
2022-08-17,8.911489486694336,9.003360864597013,8.819618984942052,8.911489486694336,5375500
2022-08-18,9.0033597946167,9.0033597946167,8.773682253305816,8.865552744139997,6806700
2022-08-19,8.819618225097656,9.003360088922541,8.727746855110055,8.86555303394114,7012300
2022-08-22,8.773681640625,8.865552125043711,8.727745960340531,8.865552125043711,1416200
2022-08-23,8.819618225097656,8.86555303394114,8.727746855110055,8.727746855110055,1553000
2022-08-24,9.0033597946167,9.0033597946167,8.81961793679805,8.81961793679805,4591700
2022-08-25,9.049296379089355,9.049296379089355,8.911489314892085,9.003360691023598,3731100
2022-08-26,9.0033597946167,9.049295478108935,8.957424111124466,9.049295478108935,3235600
2022-08-29,8.911489486694336,9.003360864597013,8.865553797742997,8.865553797742997,4534100
2022-08-30,8.86555290222168,8.911488586532993,8.773682409749357,8.911488586532993,2637700
2022-08-31,8.819618225097656,8.86555303394114,8.819618225097656,8.86555303394114,1706700
2022-09-01,8.86555290222168,8.957424270844307,8.773682409749357,8.81961809406067,3730400
2022-09-02,9.095230102539062,9.18710146767593,8.773682076860567,8.865552565847164,11524400
2022-09-05,8.86555290222168,9.049295639466935,8.86555290222168,9.049295639466935,5645200
2022-09-06,9.0033597946167,9.09523028545088,8.865552744139997,8.91148842763223,4579900
2022-09-07,9.049296379089355,9.141166879070491,8.911489314892085,9.003360691023598,10821400
2022-09-08,9.0033597946167,9.141165968943115,9.0033597946167,9.141165968943115,4882600
2022-09-09,9.095230102539062,9.18710146767593,9.095230102539062,9.095230102539062,5549900
2022-09-12,9.278972625732422,9.278972625732422,9.141165581102584,9.141165581102584,6238400
2022-09-13,9.462714195251465,9.646456039827662,9.370842834888254,9.462714195251465,20180200
2022-09-14,9.554584503173828,9.554584503173828,9.27897217946994,9.370842661987833,6285400
2022-09-15,9.554584503173828,9.554584503173828,9.370842661987833,9.462714020655936,4143400
2022-09-16,9.462714195251465,9.554584679464451,9.370842834888254,9.462714195251465,3749400
2022-09-19,9.370842933654785,9.646456141499092,9.278972448473507,9.462714294986299,6815300
2022-09-20,9.278972625732422,9.46271447575529,9.278972625732422,9.46271447575529,2465900
2022-09-21,9.370842933654785,9.370842933654785,9.187101087141992,9.278972448473507,2894200
2022-09-22,9.462714195251465,9.462714195251465,9.27897235067527,9.27897235067527,1734900
2022-09-23,9.462714195251465,9.554584679464451,9.370842834888254,9.462714195251465,4551000
2022-09-26,9.462714195251465,9.554584679464451,9.370842834888254,9.462714195251465,3540400
2022-09-27,9.462714195251465,9.830197884403857,9.462714195251465,9.462714195251465,15634800
